NumberofCases,TypeofCrime
877,Drug possession/use
551,Drug possession/use
588,Drug possession/use
599,Drug possession/use
529,Drug possession/use
647,Drug possession/use
553,Drug possession/use
634,Drug possession/use
901,Drug possession/use
650,Drug possession/use
553,Drug possession/use
583,Drug possession/use
642,Drug possession/use
836,Drug possession/use
667,Drug possession/use
630,Drug possession/use
567,Drug possession/use
700,Drug possession/use
662,Drug possession/use
647,Drug possession/use
610,Drug possession/use
718,Drug possession/use
649,Drug possession/use
640,Drug possession/use
627,Drug possession/use
675,Drug possession/use
667,Drug possession/use
621,Drug possession/use
614,Drug possession/use
911,Drug possession/use
703,Drug possession/use
634,Drug possession/use
634,Drug possession/use
668,Drug possession/use
657,Drug possession/use
696,Drug possession/use
652,Drug possession/use
648,Drug possession/use
584,Drug possession/use
749,Drug possession/use
613,Drug possession/use
604,Drug possession/use
753,Drug possession/use
618,Drug possession/use
665,Drug possession/use
699,Drug possession/use
728,Drug possession/use
739,Drug possession/use
658,Drug possession/use
657,Drug possession/use
690,Drug possession/use
540,Drug possession/use
977,Drug possession/use
637,Drug possession/use
584,Drug possession/use
740,Drug possession/use
635,Drug possession/use
668,Drug possession/use
686,Drug possession/use
670,Drug possession/use
707,Drug possession/use
698,Drug possession/use
641,Drug possession/use
557,Drug possession/use
754,Drug possession/use
679,Drug possession/use
668,Drug possession/use
637,Drug possession/use
729,Drug possession/use
699,Drug possession/use
628,Drug possession/use
706,Drug possession/use
646,Drug possession/use
655,Drug possession/use
574,Drug possession/use
708,Drug possession/use
671,Drug possession/use
647,Drug possession/use
676,Drug possession/use
611,Drug possession/use
618,Drug possession/use
890,Drug possession/use
680,Drug possession/use
602,Drug possession/use
674,Drug possession/use
686,Drug possession/use
734,Drug possession/use
702,Drug possession/use
654,Drug possession/use
688,Drug possession/use
626,Drug possession/use
774,Drug possession/use
626,Drug possession/use
574,Drug possession/use
700,Drug possession/use
685,Drug possession/use
756,Drug possession/use
591,Drug possession/use
746,Drug possession/use
664,Drug possession/use
759,Drug possession/use
687,Drug possession/use
658,Drug possession/use
688,Drug possession/use
892,Drug possession/use
688,Drug possession/use
627,Drug possession/use
576,Drug possession/use
838,Drug possession/use
582,Drug possession/use
595,Drug possession/use
659,Drug possession/use
607,Drug possession/use
690,Drug possession/use
714,Drug possession/use
591,Drug possession/use
554,Drug possession/use
552,Drug possession/use
650,Drug possession/use
727,Drug possession/use
615,Drug possession/use
706,Drug possession/use
646,Drug possession/use
673,Drug possession/use
730,Drug possession/use
682,Drug possession/use
658,Drug possession/use
604,Drug possession/use
594,Drug possession/use
586,Drug possession/use
613,Drug possession/use
614,Drug possession/use
614,Drug possession/use
893,Drug possession/use
641,Drug possession/use
640,Drug possession/use
605,Drug possession/use
559,Drug possession/use
646,Drug possession/use
617,Drug possession/use
