date,type,number
2015/1/4,cannabis,373
2015/1/4,others,504
2015/1/11,cannabis,300
2015/1/11,others,251
2015/1/18,cannabis,323
2015/1/18,others,265
2015/1/25,cannabis,345
2015/1/25,others,254
2015/2/1,cannabis,306
2015/2/1,others,223
2015/2/8,cannabis,370
2015/2/8,others,277
2015/2/15,cannabis,313
2015/2/15,others,240
2015/2/22,cannabis,376
2015/2/22,others,258
2015/3/1,cannabis,446
2015/3/1,others,455
2015/3/8,cannabis,347
2015/3/8,others,303
2015/3/15,cannabis,318
2015/3/15,others,235
2015/3/22,cannabis,311
2015/3/22,others,272
2015/3/29,cannabis,372
2015/3/29,others,270
2015/4/5,cannabis,531
2015/4/5,others,305
2015/4/12,cannabis,387
2015/4/12,others,280
2015/4/19,cannabis,375
2015/4/19,others,255
2015/4/26,cannabis,330
2015/4/26,others,237
2015/5/3,cannabis,426
2015/5/3,others,274
2015/5/10,cannabis,350
2015/5/10,others,312
2015/5/17,cannabis,385
2015/5/17,others,262
2015/5/24,cannabis,335
2015/5/24,others,275
2015/5/31,cannabis,424
2015/5/31,others,294
2015/6/7,cannabis,381
2015/6/7,others,268
2015/6/14,cannabis,355
2015/6/14,others,285
2015/6/21,cannabis,352
2015/6/21,others,275
2015/6/28,cannabis,381
2015/6/28,others,294
2015/7/5,cannabis,371
2015/7/5,others,296
2015/7/12,cannabis,339
2015/7/12,others,282
2015/7/19,cannabis,352
2015/7/19,others,262
2015/7/26,cannabis,495
2015/7/26,others,416
2015/8/2,cannabis,423
2015/8/2,others,280
2015/8/9,cannabis,390
2015/8/9,others,244
2015/8/16,cannabis,370
2015/8/16,others,264
2015/8/23,cannabis,399
2015/8/23,others,269
2015/8/30,cannabis,388
2015/8/30,others,269
2015/9/6,cannabis,389
2015/9/6,others,307
2015/9/13,cannabis,377
2015/9/13,others,275
2015/9/20,cannabis,368
2015/9/20,others,280
2015/9/27,cannabis,320
2015/9/27,others,264
2015/10/4,cannabis,360
2015/10/4,others,389
2015/10/11,cannabis,351
2015/10/11,others,262
2015/10/18,cannabis,373
2015/10/18,others,231
2015/10/25,cannabis,427
2015/10/25,others,326
2015/11/1,cannabis,336
2015/11/1,others,282
2015/11/8,cannabis,432
2015/11/8,others,233
2015/11/15,cannabis,388
2015/11/15,others,311
2015/11/22,cannabis,360
2015/11/22,others,368
2015/11/29,cannabis,366
2015/11/29,others,373
2015/12/6,cannabis,382
2015/12/6,others,276
2015/12/13,cannabis,369
2015/12/13,others,288
2015/12/20,cannabis,368
2015/12/20,others,322
2015/12/27,cannabis,317
2015/12/27,others,223
2016/1/3,cannabis,459
2016/1/3,others,518
2016/1/10,cannabis,347
2016/1/10,others,290
2016/1/17,cannabis,325
2016/1/17,others,259
2016/1/24,cannabis,359
2016/1/24,others,381
2016/1/31,cannabis,344
2016/1/31,others,291
2016/2/7,cannabis,376
2016/2/7,others,292
2016/2/14,cannabis,346
2016/2/14,others,340
2016/2/21,cannabis,362
2016/2/21,others,308
2016/2/28,cannabis,400
2016/2/28,others,307
2016/3/6,cannabis,396
2016/3/6,others,302
2016/3/13,cannabis,329
2016/3/13,others,312
2016/3/20,cannabis,324
2016/3/20,others,233
2016/3/27,cannabis,480
2016/3/27,others,274
2016/4/3,cannabis,389
2016/4/3,others,290
2016/4/10,cannabis,385
2016/4/10,others,283
2016/4/17,cannabis,329
2016/4/17,others,308
2016/4/24,cannabis,407
2016/4/24,others,322
2016/5/1,cannabis,382
2016/5/1,others,317
2016/5/8,cannabis,357
2016/5/8,others,271
2016/5/15,cannabis,398
2016/5/15,others,308
2016/5/22,cannabis,345
2016/5/22,others,301
2016/5/29,cannabis,377
2016/5/29,others,278
2016/6/5,cannabis,343
2016/6/5,others,231
2016/6/12,cannabis,353
2016/6/12,others,355
2016/6/19,cannabis,373
2016/6/19,others,298
2016/6/26,cannabis,359
2016/6/26,others,288
2016/7/3,cannabis,342
2016/7/3,others,334
2016/7/10,cannabis,326
2016/7/10,others,285
2016/7/17,cannabis,338
2016/7/17,others,280
2016/7/24,cannabis,394
2016/7/24,others,496
2016/7/31,cannabis,367
2016/7/31,others,313
2016/8/7,cannabis,329
2016/8/7,others,273
2016/8/14,cannabis,368
2016/8/14,others,306
2016/8/21,cannabis,361
2016/8/21,others,325
2016/8/28,cannabis,393
2016/8/28,others,341
2016/9/4,cannabis,365
2016/9/4,others,337
2016/9/11,cannabis,355
2016/9/11,others,299
2016/9/18,cannabis,348
2016/9/18,others,340
2016/9/25,cannabis,336
2016/9/25,others,290
2016/10/2,cannabis,325
2016/10/2,others,449
2016/10/9,cannabis,336
2016/10/9,others,290
2016/10/16,cannabis,326
2016/10/16,others,248
2016/10/23,cannabis,407
2016/10/23,others,293
2016/10/30,cannabis,341
2016/10/30,others,344
2016/11/6,cannabis,362
2016/11/6,others,394
2016/11/13,cannabis,292
2016/11/13,others,299
2016/11/20,cannabis,331
2016/11/20,others,415
2016/11/27,cannabis,373
2016/11/27,others,291
2016/12/4,cannabis,409
2016/12/4,others,350
2016/12/11,cannabis,343
2016/12/11,others,344
2016/12/18,cannabis,359
2016/12/18,others,299
2016/12/25,cannabis,377
2016/12/25,others,311
2017/1/1,cannabis,357
2017/1/1,others,535
2017/1/8,cannabis,384
2017/1/8,others,304
2017/1/15,cannabis,364
2017/1/15,others,263
2017/1/22,cannabis,320
2017/1/22,others,256
2017/1/29,cannabis,407
2017/1/29,others,431
2017/2/5,cannabis,317
2017/2/5,others,265
2017/2/12,cannabis,303
2017/2/12,others,292
2017/2/19,cannabis,342
2017/2/19,others,317
2017/2/26,cannabis,325
2017/2/26,others,282
2017/3/5,cannabis,319
2017/3/5,others,371
2017/3/12,cannabis,344
2017/3/12,others,370
2017/3/19,cannabis,302
2017/3/19,others,289
2017/3/26,cannabis,311
2017/3/26,others,243
2017/4/2,cannabis,298
2017/4/2,others,254
2017/4/9,cannabis,365
2017/4/9,others,285
2017/4/16,cannabis,423
2017/4/16,others,304
2017/4/23,cannabis,355
2017/4/23,others,260
2017/4/30,cannabis,394
2017/4/30,others,312
2017/5/7,cannabis,360
2017/5/7,others,286
2017/5/14,cannabis,349
2017/5/14,others,324
2017/5/21,cannabis,413
2017/5/21,others,317
2017/5/28,cannabis,403
2017/5/28,others,279
2017/6/4,cannabis,357
2017/6/4,others,301
2017/6/11,cannabis,285
2017/6/11,others,319
2017/6/18,cannabis,347
2017/6/18,others,247
2017/6/25,cannabis,359
2017/6/25,others,227
2017/7/2,cannabis,372
2017/7/2,others,241
2017/7/9,cannabis,344
2017/7/9,others,270
2017/7/16,cannabis,320
2017/7/16,others,294
2017/7/23,cannabis,409
2017/7/23,others,484
2017/7/30,cannabis,354
2017/7/30,others,287
2017/8/6,cannabis,339
2017/8/6,others,301
2017/8/13,cannabis,316
2017/8/13,others,289
2017/8/20,cannabis,288
2017/8/20,others,271
2017/8/27,cannabis,360
2017/8/27,others,286
2017/9/3,cannabis,311
2017/9/3,others,306
2017/9/10,cannabis,322
2017/9/10,others,263
2017/9/17,cannabis,336
2017/9/17,others,317
2017/9/24,cannabis,340
2017/9/24,others,289
2017/10/1,cannabis,348
2017/10/1,others,463
2017/10/8,cannabis,326
2017/10/8,others,226
2017/10/15,cannabis,291
2017/10/15,others,272
2017/10/22,cannabis,347
2017/10/22,others,268
2017/10/29,cannabis,361
2017/10/29,others,309
2017/11/5,cannabis,423
2017/11/5,others,318
2017/11/12,cannabis,323
2017/11/12,others,337
2017/11/19,cannabis,353
2017/11/19,others,337
2017/11/26,cannabis,447
2017/11/26,others,368
2017/12/3,cannabis,407
2017/12/3,others,338
2017/12/10,cannabis,294
2017/12/10,others,332
2017/12/17,cannabis,321
2017/12/17,others,408
2017/12/24,cannabis,330
2017/12/24,others,366
2017/12/31,cannabis,355
2017/12/31,others,379
2018/1/7,cannabis,314
2018/1/7,others,560
2018/1/14,cannabis,343
2018/1/14,others,374
2018/1/21,cannabis,363
2018/1/21,others,365
2018/1/28,cannabis,337
2018/1/28,others,415
2018/2/4,cannabis,300
2018/2/4,others,324
2018/2/11,cannabis,325
2018/2/11,others,352
2018/2/18,cannabis,277
2018/2/18,others,345
2018/2/25,cannabis,330
2018/2/25,others,437
2018/3/4,cannabis,307
2018/3/4,others,372
2018/3/11,cannabis,353
2018/3/11,others,426
2018/3/18,cannabis,312
2018/3/18,others,284
2018/3/25,cannabis,286
2018/3/25,others,278
2018/4/1,cannabis,494
2018/4/1,others,417
2018/4/8,cannabis,435
2018/4/8,others,324
2018/4/15,cannabis,340
2018/4/15,others,275
2018/4/22,cannabis,353
2018/4/22,others,385
2018/4/29,cannabis,311
2018/4/29,others,407
2018/5/6,cannabis,333
2018/5/6,others,350
2018/5/13,cannabis,339
2018/5/13,others,304
2018/5/20,cannabis,339
2018/5/20,others,328
2018/5/27,cannabis,332
2018/5/27,others,280
2018/6/3,cannabis,353
2018/6/3,others,310
2018/6/10,cannabis,329
2018/6/10,others,332
2018/6/17,cannabis,339
2018/6/17,others,335
2018/6/24,cannabis,311
2018/6/24,others,312
2018/7/1,cannabis,319
2018/7/1,others,276
2018/7/8,cannabis,295
2018/7/8,others,302
2018/7/15,cannabis,296
2018/7/15,others,307
2018/7/22,cannabis,375
2018/7/22,others,431
2018/7/29,cannabis,304
2018/7/29,others,291
2018/8/5,cannabis,320
2018/8/5,others,377
2018/8/12,cannabis,293
2018/8/12,others,366
2018/8/19,cannabis,362
2018/8/19,others,307
2018/8/26,cannabis,374
2018/8/26,others,386
2018/9/2,cannabis,330
2018/9/2,others,313
2018/9/9,cannabis,319
