week,cannabis,others
2015-01-04,373,504
2015-01-11,300,251
2015-01-18,323,265
2015-01-25,345,254
2015-02-01,306,223
2015-02-08,370,277
2015-02-15,313,240
2015-02-22,376,258
2015-03-01,446,455
2015-03-08,347,303
2015-03-15,318,235
2015-03-22,311,272
2015-03-29,372,270
2015-04-05,531,305
2015-04-12,387,280
2015-04-19,375,255
2015-04-26,330,237
2015-05-03,426,274
2015-05-10,350,312
2015-05-17,385,262
2015-05-24,335,275
2015-05-31,424,294
2015-06-07,381,268
2015-06-14,355,285
2015-06-21,352,275
2015-06-28,381,294
2015-07-05,371,296
2015-07-12,339,282
2015-07-19,352,262
2015-07-26,495,416
2015-08-02,423,280
2015-08-09,390,244
2015-08-16,370,264
2015-08-23,399,269
2015-08-30,388,269
2015-09-06,389,307
2015-09-13,377,275
2015-09-20,368,280
2015-09-27,320,264
2015-10-04,360,389
2015-10-11,351,262
2015-10-18,373,231
2015-10-25,427,326
2015-11-01,336,282
2015-11-08,432,233
2015-11-15,388,311
2015-11-22,360,368
2015-11-29,366,373
2015-12-06,382,276
2015-12-13,369,288
2015-12-20,368,322
2015-12-27,317,223
2016-01-03,459,518
2016-01-10,347,290
2016-01-17,325,259
2016-01-24,359,381
2016-01-31,344,291
2016-02-07,376,292
2016-02-14,346,340
2016-02-21,362,308
2016-02-28,400,307
2016-03-06,396,302
2016-03-13,329,312
2016-03-20,324,233
2016-03-27,480,274
2016-04-03,389,290
2016-04-10,385,283
2016-04-17,329,308
2016-04-24,407,322
2016-05-01,382,317
2016-05-08,357,271
2016-05-15,398,308
2016-05-22,345,301
2016-05-29,377,278
2016-06-05,343,231
2016-06-12,353,355
2016-06-19,373,298
2016-06-26,359,288
2016-07-03,342,334
2016-07-10,326,285
2016-07-17,338,280
2016-07-24,394,496
2016-07-31,367,313
2016-08-07,329,273
2016-08-14,368,306
2016-08-21,361,325
2016-08-28,393,341
2016-09-04,365,337
2016-09-11,355,299
2016-09-18,348,340
2016-09-25,336,290
2016-10-02,325,449
2016-10-09,336,290
2016-10-16,326,248
2016-10-23,407,293
2016-10-30,341,344
2016-11-06,362,394
2016-11-13,292,299
2016-11-20,331,415
2016-11-27,373,291
2016-12-04,409,350
2016-12-11,343,344
2016-12-18,359,299
2016-12-25,377,311
2017-01-01,357,535
2017-01-08,384,304
2017-01-15,364,263
2017-01-22,320,256
2017-01-29,407,431
2017-02-05,317,265
2017-02-12,303,292
2017-02-19,342,317
2017-02-26,325,282
2017-03-05,319,371
2017-03-12,344,370
2017-03-19,302,289
2017-03-26,311,243
2017-04-02,298,254
2017-04-09,365,285
2017-04-16,423,304
2017-04-23,355,260
2017-04-30,394,312
2017-05-07,360,286
2017-05-14,349,324
2017-05-21,413,317
2017-05-28,403,279
2017-06-04,357,301
2017-06-11,285,319
2017-06-18,347,247
2017-06-25,359,227
2017-07-02,372,241
2017-07-09,344,270
2017-07-16,320,294
2017-07-23,409,484
2017-07-30,354,287
2017-08-06,339,301
2017-08-13,316,289
2017-08-20,288,271
2017-08-27,360,286
2017-09-03,311,306
2017-09-10,322,263
2017-09-17,336,317
2017-09-24,340,289
2017-10-01,348,463
2017-10-08,326,226
2017-10-15,291,272
2017-10-22,347,268
2017-10-29,361,309
2017-11-05,423,318
2017-11-12,323,337
2017-11-19,353,337
2017-11-26,447,368
2017-12-03,407,338
2017-12-10,294,332
2017-12-17,321,408
2017-12-24,330,366
