week,cannabis,others,dealing
2015/1/4,373,504,120
2015/1/11,300,251,54
2015/1/18,323,265,85
2015/1/25,345,254,74
2015/2/1,306,223,73
2015/2/8,370,277,88
2015/2/15,313,240,54
2015/2/22,376,258,90
2015/3/1,446,455,99
2015/3/8,347,303,129
2015/3/15,318,235,87
2015/3/22,311,272,79
2015/3/29,372,270,69
2015/4/5,531,305,67
2015/4/12,387,280,39
2015/4/19,375,255,80
2015/4/26,330,237,113
2015/5/3,426,274,133
2015/5/10,350,312,52
2015/5/17,385,262,119
2015/5/24,335,275,90
2015/5/31,424,294,58
2015/6/7,381,268,78
2015/6/14,355,285,122
2015/6/21,352,275,134
2015/6/28,381,294,70
2015/7/5,371,296,61
2015/7/12,339,282,72
2015/7/19,352,262,170
2015/7/26,495,416,81
2015/8/2,423,280,96
2015/8/9,390,244,130
2015/8/16,370,264,122
2015/8/23,399,269,72
2015/8/30,388,269,178
2015/9/6,389,307,83
2015/9/13,377,275,128
2015/9/20,368,280,99
2015/9/27,320,264,34
2015/10/4,360,389,69
2015/10/11,351,262,96
2015/10/18,373,231,90
2015/10/25,427,326,143
2015/11/1,336,282,111
2015/11/8,432,233,59
2015/11/15,388,311,74
2015/11/22,360,368,76
2015/11/29,366,373,65
2015/12/6,382,276,168
2015/12/13,369,288,77
2015/12/20,368,322,84
2015/12/27,317,223,37
2016/1/3,459,518,69
2016/1/10,347,290,46
2016/1/17,325,259,80
2016/1/24,359,381,74
2016/1/31,344,291,77
2016/2/7,376,292,139
2016/2/14,346,340,79
2016/2/21,362,308,138
2016/2/28,400,307,95
2016/3/6,396,302,116
2016/3/13,329,312,98
2016/3/20,324,233,128
2016/3/27,480,274,93
2016/4/3,389,290,67
2016/4/10,385,283,102
2016/4/17,329,308,155
2016/4/24,407,322,137
2016/5/1,382,317,59
2016/5/8,357,271,83
2016/5/15,398,308,120
2016/5/22,345,301,91
2016/5/29,377,278,77
2016/6/5,343,231,87
2016/6/12,353,355,104
2016/6/19,373,298,63
2016/6/26,359,288,113
2016/7/3,342,334,88
2016/7/10,326,285,85
2016/7/17,338,280,104
2016/7/24,394,496,88
2016/7/31,367,313,118
2016/8/7,329,273,129
2016/8/14,368,306,106
2016/8/21,361,325,98
2016/8/28,393,341,93
2016/9/4,365,337,65
2016/9/11,355,299,53
2016/9/18,348,340,86
2016/9/25,336,290,71
2016/10/2,325,449,65
2016/10/9,336,290,196
2016/10/16,326,248,65
2016/10/23,407,293,89
2016/10/30,341,344,87
2016/11/6,362,394,66
2016/11/13,292,299,108
2016/11/20,331,415,201
2016/11/27,373,291,88
2016/12/4,409,350,115
2016/12/11,343,344,67
2016/12/18,359,299,159
2016/12/25,377,311,120
2017/1/1,357,535,61
2017/1/8,384,304,80
2017/1/15,364,263,77
2017/1/22,320,256,54
2017/1/29,407,431,101
2017/2/5,317,265,80
2017/2/12,303,292,94
2017/2/19,342,317,106
2017/2/26,325,282,34
2017/3/5,319,371,86
2017/3/12,344,370,115
2017/3/19,302,289,95
2017/3/26,311,243,135
2017/4/2,298,254,83
2017/4/9,365,285,96
2017/4/16,423,304,57
2017/4/23,355,260,53
2017/4/30,394,312,50
2017/5/7,360,286,68
2017/5/14,349,324,70
2017/5/21,413,317,72
2017/5/28,403,279,99
2017/6/4,357,301,65
2017/6/11,285,319,59
2017/6/18,347,247,188
2017/6/25,359,227,109
2017/7/2,372,241,227
2017/7/9,344,270,219
2017/7/16,320,294,128
2017/7/23,409,484,87
2017/7/30,354,287,66
2017/8/6,339,301,84
2017/8/13,316,289,86
2017/8/20,288,271,32
2017/8/27,360,286,54
2017/9/3,311,306,95
2017/9/10,322,263,198
2017/9/17,336,317,79
2017/9/24,340,289,68
2017/10/1,348,463,56
2017/10/8,326,226,82
2017/10/15,291,272,126
2017/10/22,347,268,65
2017/10/29,361,309,79
2017/11/5,423,318,100
2017/11/12,323,337,97
2017/11/19,353,337,82
2017/11/26,447,368,100
2017/12/3,407,338,123
2017/12/10,294,332,161
2017/12/17,321,408,66
2017/12/24,330,366,109
2017/12/31,355,379,51
2018/1/7,314,560,62
2018/1/14,343,374,57
2018/1/21,363,365,72
2018/1/28,337,415,62
2018/2/4,300,324,107
2018/2/11,325,352,145
2018/2/18,277,345,54
2018/2/25,330,437,62
2018/3/4,307,372,106
2018/3/11,353,426,57
2018/3/18,312,284,63
2018/3/25,286,278,280
2018/4/1,494,417,83
2018/4/8,435,324,68
2018/4/15,340,275,118
2018/4/22,353,385,59
2018/4/29,311,407,54
2018/5/6,333,350,147
2018/5/13,339,304,172
2018/5/20,339,328,136
2018/5/27,332,280,95
2018/6/3,353,310,113
2018/6/10,329,332,76
2018/6/17,339,335,75
2018/6/24,311,312,36
2018/7/1,319,276,56
2018/7/8,295,302,93
2018/7/15,296,307,46
2018/7/22,375,431,92
2018/7/29,304,291,129
2018/8/5,320,377,255
2018/8/12,293,366,259
2018/8/19,362,307,81
2018/8/26,374,386,66
2018/9/2,330,313,122
2018/9/9,319,311,56
2018/9/16,314,364,71
2018/9/23,301,343,66
2018/9/30,311,528,92
