date,type,number
2015-01-04,cannabis,373
2015-01-04,others,504
2015-01-11,cannabis,300
2015-01-11,others,251
2015-01-18,cannabis,323
2015-01-18,others,265
2015-01-25,cannabis,345
2015-01-25,others,254
2015-02-01,cannabis,306
2015-02-01,others,223
2015-02-08,cannabis,370
2015-02-08,others,277
2015-02-15,cannabis,313
2015-02-15,others,240
2015-02-22,cannabis,376
2015-02-22,others,258
2015-03-01,cannabis,446
2015-03-01,others,455
2015-03-08,cannabis,347
2015-03-08,others,303
2015-03-15,cannabis,318
2015-03-15,others,235
2015-03-22,cannabis,311
2015-03-22,others,272
2015-03-29,cannabis,372
2015-03-29,others,270
2015-04-05,cannabis,531
2015-04-05,others,305
2015-04-12,cannabis,387
2015-04-12,others,280
2015-04-19,cannabis,375
2015-04-19,others,255
2015-04-26,cannabis,330
2015-04-26,others,237
2015-05-03,cannabis,426
2015-05-03,others,274
2015-05-10,cannabis,350
2015-05-10,others,312
2015-05-17,cannabis,385
2015-05-17,others,262
2015-05-24,cannabis,335
2015-05-24,others,275
2015-05-31,cannabis,424
2015-05-31,others,294
2015-06-07,cannabis,381
2015-06-07,others,268
2015-06-14,cannabis,355
2015-06-14,others,285
2015-06-21,cannabis,352
2015-06-21,others,275
2015-06-28,cannabis,381
2015-06-28,others,294
2015-07-05,cannabis,371
2015-07-05,others,296
2015-07-12,cannabis,339
2015-07-12,others,282
2015-07-19,cannabis,352
2015-07-19,others,262
2015-07-26,cannabis,495
2015-07-26,others,416
2015-08-02,cannabis,423
2015-08-02,others,280
2015-08-09,cannabis,390
2015-08-09,others,244
2015-08-16,cannabis,370
2015-08-16,others,264
2015-08-23,cannabis,399
2015-08-23,others,269
2015-08-30,cannabis,388
2015-08-30,others,269
2015-09-06,cannabis,389
2015-09-06,others,307
2015-09-13,cannabis,377
2015-09-13,others,275
2015-09-20,cannabis,368
2015-09-20,others,280
2015-09-27,cannabis,320
2015-09-27,others,264
2015-10-04,cannabis,360
2015-10-04,others,389
2015-10-11,cannabis,351
2015-10-11,others,262
2015-10-18,cannabis,373
2015-10-18,others,231
2015-10-25,cannabis,427
2015-10-25,others,326
